2026-04-05T12:22:51.443Z | abysmal | Unexpected token '}', ..." "prefix":}}" is not valid JSON
2026-04-05T12:30:29.199Z | amenity | Missing fields: quiz_choices
2026-04-05T12:37:49.671Z | astute | Missing fields: quiz_choices
2026-04-05T12:41:21.495Z | bastion | Missing fields: quiz_choices
2026-04-05T12:44:51.016Z | blithe | Missing fields: quiz_choices
2026-04-05T12:46:38.162Z | burlesque | Missing fields: quiz_choices
2026-04-05T12:49:59.148Z | celibacy | Missing fields: quiz_choices
2026-04-05T12:50:30.715Z | chagrin | Missing fields: etymology, quiz_choices
2026-04-05T12:51:07.851Z | charlatan | Missing fields: quiz_choices
2026-04-05T12:52:26.021Z | chicanery | Unterminated string in JSON at position 239 (line 9 column 8)
2026-04-05T12:53:10.718Z | chimera | Missing fields: etymology, quiz_choices
2026-04-05T13:07:26.366Z | deleterious | Missing fields: quiz_choices
2026-04-05T13:19:42.786Z | esoteric | Missing fields: quiz_choices
2026-04-05T13:24:27.059Z | fastidious | Missing fields: quiz_choices
2026-04-05T13:27:17.349Z | flaunt | Missing fields: quiz_choices
2026-04-05T13:32:07.613Z | hackneyed | Missing fields: quiz_choices
2026-04-05T13:33:16.867Z | harbinger | Unterminated string in JSON at position 577 (line 21 column 37)
2026-04-05T13:34:45.314Z | heyday | Missing fields: quiz_choices
2026-04-05T13:37:31.477Z | idiosyncrasy | Missing fields: quiz_choices
2026-04-05T13:42:45.658Z | indigent | Missing fields: quiz_choices
2026-04-05T13:46:24.977Z | insolent | Missing fields: quiz_choices
2026-04-05T13:47:00.570Z | insurgent | Missing fields: quiz_choices
2026-04-05T13:50:19.418Z | lampoon | Missing fields: quiz_choices
2026-04-05T13:51:58.742Z | lethargy | Missing fields: quiz_choices
2026-04-05T13:53:14.359Z | lugubrious | Missing fields: etymology, quiz_choices
2026-04-05T13:56:39.104Z | marshal | Missing fields: quiz_choices
2026-04-05T13:57:23.526Z | maudlin | Missing fields: quiz_choices
2026-04-05T13:57:37.727Z | maverick | Missing fields: quiz_choices
2026-04-05T14:05:28.301Z | oblique | Missing fields: quiz_choices
2026-04-05T14:05:59.425Z | oblivion | Missing fields: quiz_choices
2026-04-05T14:09:41.616Z | paltry | Unterminated string in JSON at position 247 (line 9 column 8)
2026-04-05T14:09:55.899Z | panacea | Missing fields: etymology, quiz_choices
2026-04-05T14:14:39.564Z | peripatetic | Missing fields: quiz_choices
2026-04-05T14:17:08.242Z | philistine | Missing fields: quiz_choices
2026-04-05T14:19:35.854Z | portent | Missing fields: quiz_choices
2026-04-05T14:23:38.812Z | prodigy | Missing fields: quiz_choices
2026-04-05T14:32:14.331Z | refute | Missing fields: quiz_choices
2026-04-05T14:34:58.273Z | repudiate | Missing fields: quiz_choices
2026-04-05T14:36:51.509Z | rogue | Missing fields: quiz_choices
2026-04-05T14:38:50.973Z | sardonic | Missing fields: quiz_choices
2026-04-05T14:40:39.242Z | serendipity | Missing fields: quiz_choices
2026-04-05T14:44:52.302Z | squander | Missing fields: quiz_choices
2026-04-05T14:46:50.705Z | stymie | Missing fields: quiz_choices
2026-04-05T14:51:17.390Z | tantamount | Unterminated string in JSON at position 216 (line 9 column 26)
2026-04-05T14:56:05.000Z | tout | Unterminated string in JSON at position 570 (line 20 column 34)
2026-04-05T14:57:41.878Z | ubiquitous | Missing fields: quiz_choices
2026-04-05T15:01:24.468Z | vernacular | Missing fields: quiz_choices
2026-04-05T15:05:59.196Z | biopic | Missing fields: quiz_choices
2026-04-05T15:10:13.346Z | jazz | Unterminated string in JSON at position 221 (line 9 column 38)
2026-04-05T15:13:20.564Z | still life | Missing fields: quiz_choices
2026-04-05T15:15:00.674Z | ad hoc | Missing fields: quiz_choices
2026-04-05T15:19:47.604Z | savoir-faire | Missing fields: quiz_choices
2026-04-05T15:20:02.017Z | sine qua non | Missing fields: quiz_choices
2026-04-05T15:22:35.028Z | big bang | Missing fields: quiz_choices
2026-04-05T15:23:34.610Z | black hole | Unterminated string in JSON at position 290 (line 5 column 14)
2026-04-05T15:26:44.465Z | light-year | Missing fields: quiz_choices
2026-04-05T15:28:08.365Z | ozone layer | Missing fields: quiz_choices
2026-04-05T15:28:46.608Z | pheromone | Missing fields: quiz_choices
2026-04-05T15:32:08.921Z | ASCII | Missing fields: quiz_choices
2026-04-05T15:33:21.991Z | BASIC | Missing fields: quiz_choices
2026-04-05T15:35:42.352Z | bug | Unterminated string in JSON at position 177 (line 9 column 21)
2026-04-05T15:39:47.004Z | I/O | Missing fields: quiz_choices
2026-04-05T15:41:22.686Z | joystick | Missing fields: quiz_choices
2026-04-05T15:44:27.340Z | Pascal | Missing fields: quiz_choices
2026-04-05T15:49:14.947Z | advance | Missing fields: quiz_choices
2026-04-05T15:55:18.792Z | bias | Unterminated string in JSON at position 242 (line 9 column 12)
2026-04-05T16:23:58.503Z | goal | Missing fields: quiz_choices
2026-04-05T16:29:36.521Z | inevitable | Missing fields: quiz_choices
2026-04-05T16:35:05.897Z | label | Missing fields: quiz_choices
2026-04-05T16:42:11.608Z | nevertheless | Missing fields: quiz_choices
2026-04-05T16:48:58.175Z | pose | Missing fields: etymology, quiz_choices
2026-04-05T16:55:32.942Z | random | Missing fields: etymology, quiz_choices
2026-04-05T17:10:31.821Z | straightforward | Missing fields: quiz_choices
2026-04-05T17:13:46.665Z | symptom | Missing fields: etymology, quiz_choices
2026-04-05T17:21:19.960Z | trend | Missing fields: quiz_choices
2026-04-05T17:29:36.002Z | yield | Missing fields: quiz_choices
2026-04-05T17:33:35.197Z | artificial | Missing fields: quiz_choices
2026-04-05T17:34:57.994Z | asthma | Unterminated string in JSON at position 225 (line 9 column 8)
2026-04-05T17:45:54.084Z | decade | Missing fields: quiz_choices
2026-04-05T17:55:14.270Z | era | Missing fields: quiz_choices
2026-04-05T17:57:39.128Z | explore | Missing fields: etymology, quiz_choices
2026-04-05T17:58:50.935Z | famine | Missing fields: quiz_choices
2026-04-05T18:00:26.608Z | figure | Missing fields: quiz_choices
2026-04-05T18:06:22.186Z | horizontal | Missing fields: quiz_choices
2026-04-05T18:06:36.306Z | hormone | Missing fields: etymology, quiz_choices
2026-04-05T18:11:33.797Z | interfere | Unterminated string in JSON at position 222 (line 8 column 26)
2026-04-05T18:27:46.973Z | organ | Missing fields: quiz_choices
2026-04-05T18:30:57.539Z | perform | Missing fields: quiz_choices
2026-04-05T18:33:04.435Z | plot | Missing fields: quiz_choices
2026-04-05T18:48:18.474Z | sacrifice | Missing fields: quiz_choices
2026-04-05T18:52:13.518Z | seldom | Missing fields: quiz_choices
2026-04-05T18:57:34.723Z | spontaneous | Missing fields: quiz_choices
2026-04-05T18:58:41.469Z | steep | Missing fields: quiz_choices
2026-04-05T19:01:02.531Z | strand | Missing fields: quiz_choices
2026-04-05T19:03:25.777Z | subtract | Missing fields: quiz_choices
2026-04-05T19:45:07.647Z | bastion | Missing fields: quiz_choices
2026-04-05T19:46:05.330Z | burlesque | Missing fields: quiz_choices
2026-04-05T19:47:20.032Z | chagrin | Unterminated string in JSON at position 228 (line 8 column 8)
2026-04-05T19:47:34.141Z | charlatan | Missing fields: etymology, quiz_choices
2026-04-05T19:48:01.067Z | chimera | Missing fields: etymology, quiz_choices
2026-04-05T19:48:46.670Z | deleterious | Missing fields: quiz_choices
2026-04-05T19:49:01.186Z | esoteric | Missing fields: quiz_choices
2026-04-05T19:49:41.197Z | flaunt | Missing fields: quiz_choices
2026-04-05T19:50:04.207Z | harbinger | Missing fields: quiz_choices
2026-04-05T19:51:26.921Z | indigent | Missing fields: etymology, quiz_choices
2026-04-05T19:52:14.848Z | insolent | Missing fields: quiz_choices
